roster,capacity,hand_size,days,window,discard_limit,gain_threshold,budget,seed,focal_seats,opponent_revision,timeout,embarrassment,total_spent,budget_remaining,sockless_days,faults,fault_details,budget_exhausted_on_day,source_sha256,python_version
"2,r,r,r",28,4,730,40,1,6,120.0,4009,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1400.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4010,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1771.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4011,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1296.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4012,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2283.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4013,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1944.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4014,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2533.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4015,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1913.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4016,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1350.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4017,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1565.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4018,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1437.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4019,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,1983.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
"2,r,r,r",28,4,730,40,1,6,120.0,4020,0,8ddbf1da444305a57c12cf2b9c60b04f5ffbdd6b,1,2698.0,120.0,0.0,0,0,,,c6de34ddd996d8ac0f9a316066b74e0161563d2be3b3b45a6cb8a623a4a87552,3.13.13
